question,answer,platform,channel
VERTU Agent Q智能手机的影像系统是否清晰？,主摄5000万像素（可变光圈+OIS），长焦6400万像素（微距），超广角5000万像素，覆盖13mm-140mm全焦段；支持机械变焦和人眼仿生镜头，暗光进光量多18%，夜景高光抑制提升23%，微距、长焦、夜景表现全面超越同级。,domestic_tm,faq
VERTU Quantum折叠屏手机的展开厚度和折叠厚度是多少?,展开厚度 7.2mm，折叠约 11.2mm，重量 230g,domestic_tm,faq
VERTU META系列-METAVERTU1手机的屏幕尺寸和刷新率是多少？,屏幕为6.67英寸FHD+ AMOLED曲面屏，支持144Hz高刷新率。,domestic_tm,faq
VERTU AGENT Q手机的长宽高分别是多少?,尺寸为165.2mm（长）x 74.6mm（宽）x 11.5mm（厚），重量为262克。,domestic_tm,faq
VERTU Agent Q手机的屏幕尺寸和刷新率是多少？,6.02英寸120Hz柔性AMOLED屏。,domestic_tm,faq
VERTU AGENT Q手机的屏幕刷新率是多少赫兹？,VERTU AGENT Q手机支持120Hz的高刷新率，带来极为流畅的滑动和动画效果，显著提升操作体验。,domestic_tm,graph
VERTU Agent Q手机支持120Hz高刷新率吗？,支持120Hz高刷新率，触控流畅、视觉清晰。,domestic_tm,faq
VERTU QUANTUM新品量子AI智能体小折叠屏手机的屏幕尺寸是多少？,"量子折叠屏采用双屏折叠设计：
超大3英寸682*422外屏，阳光下亦可清晰可见
超感6.9英寸巨幕OLED内屏，大型游戏满帧运行",domestic_tm,faq
VERTU AGENT Q手机的屏幕尺寸是多少？,VERTU AGENT Q手机的屏幕尺寸为6.02英寸。,domestic_tm,graph
VERTU Agent Q手机屏幕多大？,屏幕尺寸6.02英寸,domestic_tm,faq
Does the Vertu Agent Q support screen touch?,"Yes, it supports screen touch.",overseas,faq
Is the screen of the VERTU Agent Q fully made of sapphire crystal and will it crack?,The screen core of the VERTU Agent Q is made of third-generation sapphire crystals and AMOLED panels. The protective layer is made of third-generation sapphire crystal with a Mohs hardness of 9.2 and a 40% increase in drop resistance compared to the previous generation. It is a high-end protective material suitable for luxury mobile phones.,overseas,faq
Is the metal frame and screen for the MetaVertu sold together?,"Yes, they are integrated and will be shipped together via Jonny.",overseas,faq
Does the MetaVertu 1 Curve have a sapphire screen?,"No, only the sapphire camera.",overseas,faq
Can you screen record the Vertu Quantum?,"Yes, you can screen record the Vertu Quantum.",overseas,faq
Why does the official Vertu Vietnam website (vertuvietnam.vn) display the screen size of the Vertu Agent Q as 6.67 inches when the correct size is 6.02 inches?,The Vertu Agent Q has a screen size of 6.02 inches; the display of 6.67 inches on vertuvietnam.vn appears to be an error that needs correction.,overseas,faq
What is the screen size of the Metavertu 2 Max?,6.02 inch screen.,overseas,faq
What is the screen size of the Vertu Agent Q?,6.02 inches.,overseas,faq
I would like to go for metavertu,The request is unclear and lacks specific context. Please clarify your intent regarding Metavertu.,overseas,faq
Is it easy to update apps on the VERTU Quantum Flip?,"Updating apps is quite straightforward. You can update them directly through the app store, just like on other Android devices.",overseas,faq
Can the VERTU IVERTU be updated to a newer Android version?,"The VERTU IVERTU runs on Android 11 and will continue to receive system maintenance and updates. However, it cannot be upgraded to Android 16 due to its hardware and firmware architecture being built around Android 11.",overseas,faq
Does the Vertu Agent Q model have a one-click data erase feature for emergency situations?,"Yes, the Vertu Agent Q features a Triple Independent OS Architecture with three separate, isolated systems for work, private communications, and sensitive matters, ensuring complete data segregation with no cross-leak risks. This design enables secure, emergency data erasure through dedicated hardware-level controls.",overseas,faq
Can you send me a specific screenshot of the Metavertu model on the website?,Please visit the official website to view the product details and screenshots of the Metavertu model.,overseas,faq
Are you still paying attention to Signature S?,"Yes, I'm still paying attention to Signature S.",overseas,faq
Do you have other styles or colors available for the Ivertu?,"Yes, other styles and colors are available for the Ivertu.",overseas,faq
Do you want to buy an ivertu?,Do you want to buy an ivertu?,overseas,faq
What are the dimensions and weight of the Vertu Agent Q?,Screen size: 6.02 inches; body size: 165.2 × 74.6 × 11.5 mm; weight: 262 grams.,overseas,faq
VERTU Agent Q手机在玩和平精英时能保持多少帧率？,搭载3nm骁龙8 Elite至尊版处理器，具备高性能处理能力，可支持高帧率游戏运行。,domestic_jd,faq
METAVERTU Meta直面屏手机屏幕有没有保护膜？,有的，后期还可以单独购买呢,domestic_tm,faq
VERTU QUANTUM FLIP 新款量子折叠屏手机的测量工具是否可以用于手围测量？,不支持的,domestic_tm,faq
VERTU META黑陶玄铁黑鳄鱼皮那款双曲屏的加密手机，带黄金镶钻的12GB+512GB版本现在抢半价是多少钱啊？,227800.0元,domestic_jd,price
VERTU META这款全面屏AI智能体的高端加密商务手机，浅金款曙光橙12GB+1TB现在什么价格？,36800.0元,domestic_jd,price
VERTU量子折叠屏这款黑曜石缠丝玛瑙的二代旗舰，16GB+1TB的，现在什么价格啊？,39800.0元,domestic_jd,price
VERTU META这款全面屏的高端加密商务手机，12GB+1TB深邃蓝配色现在什么价格？,36800.0元,domestic_jd,price
VERTU量子AI智能体小折叠屏手机火山红缠丝玛瑙款16GB+1TB的现在大额补贴价多少钱？这屏幕折叠质感和显示效果怎么样？,39800.0元,domestic_jd,price
VERTU META这款全面屏的高端加密商务手机玄铁黑高定版，12GB+1TB配置的现在什么价格？,54800.0元,domestic_jd,price
VERTU Agent Q的屏幕参数是什么？,6.02英寸120Hz柔性AMOLED屏。,domestic_jd,faq
VERTU META双曲屏的这款高端加密手机现在抢半价能到53800吗？18GB+1TB的配置配上玄铁黑鳄鱼皮质感，这价格还挺心动的，具体怎么算的？,53800.0元,domestic_jd,price
VERTU MetaRing这款能无创测血糖血氧心率的智能戒指现在卖多少钱？,59.0元,domestic_jd,price
VERTU AGENT Q 旗舰新品会卡顿吗？,不会卡顿，系统兼容性良好，操作流畅。,domestic_jd,faq
VERTU META双曲屏的这款高端加密手机，12GB+512GB琥珀棕鳄鱼皮版本现在抢半价能到46800吗？,46800.0元,domestic_jd,price
VERTU量子AI小折叠屏手机朱雀焰碳纤维款16GB+1TB现在能到33800元吗？这屏幕的折叠设计和质感怎么样？,33800.0元,domestic_jd,price
VERTU META这款全面屏的高端加密商务手机，12GB+1TB配置的浅金款巴黎钉维罗纳绿现在什么价格？,36800.0元,domestic_jd,price
VERTU META这款全面屏AI智能体的高端加密商务手机，浅金配巴黎钉墨玉黑12GB+1TB版本现在什么价格？,36800.0元,domestic_jd,price
VERTU Agent Q智能手机的影像系统是否清晰？,主摄5000万像素（可变光圈+OIS），长焦6400万像素（微距），超广角5000万像素，覆盖13mm-140mm全焦段；支持机械变焦和人眼仿生镜头，暗光进光量多18%，夜景高光抑制提升23%，微距、长焦、夜景表现全面超越同级。,domestic_jd,faq
VERTU Agent Q手机屏幕是4K屏幕吗？,VERTU Agent Q搭载6.02英寸120Hz柔性AMOLED屏，不支持4K分辨率。其屏幕在色彩、对比度、响应速度方面达到行业标杆水平，与三星W系手机屏幕材质相同，具备高画质与护眼特性。,domestic_jd,faq
VERTU量子折叠屏这款金丝红玛瑙限定版16GB+1TB的至尊新款，现在多少钱啊？听说是25年新款商务礼物，屏幕是折叠屏，想看看具体价格。,41800.0元,domestic_jd,price
VERTU量子AI智能体小折叠屏手机黑色斜纹碳纤款16GB+1TB现在大额补贴到手价多少？这屏幕折叠起来方便不？,30800.0元,domestic_jd,price
VERTU Signature S这款带触屏的4G卫星电话，支持AI加密通话，墨玉黑白钢标准款现在要多少钱？,128000.0元,domestic_jd,price
VERTU Agent Q直面屏手机最大屏幕几寸？,配备AMOLED直面屏，尺寸为6.02英寸，分辨率为1080x2340，支持120Hz高刷新率，视觉清晰流畅。,domestic_jd,faq
VERTU Agent Q手机后置摄像头像素清晰吗？,非常清晰哦亲爱的，后置摄像头为6400万像素；主摄5000万像素+长焦6400万像素+超广角5000万像素，全高像素组合，支持机械变焦和人眼仿生镜头，暗光进光量多18%，夜景高光抑制提升23%，微距、长焦、夜景表现全面超越同级。,domestic_jd,faq
VERTU Signature S手机可以刷视频吗？,可以哦老板。,domestic_jd,faq
VERTU META双曲屏的这款高端加密手机，12GB+512GB焦糖棕小牛皮版本现在抢半价能到多少钱啊？,23800.0元,domestic_jd,price
VERTU META这款带全面屏的高端加密商务手机，浅金巴黎钉碳纤维12GB+1TB版本现在什么价格？,36800.0元,domestic_jd,price
VERTU META这款全面屏的高端加密商务手机，12GB+1TB配置的浅金款树莓红现在什么价格？,36800.0元,domestic_jd,price
VERTU META这款双曲屏的奢品加密手机现在抢半价是23800块吗？12GB+512GB维罗纳绿小牛皮版本还挺想要的,23800.0元,domestic_jd,price
VERTU AGENT Q这款高端商务直面屏的奢品AI智能体手机，带安全加密三系统，马年款黑钢骑士黑顺水纹16GB+1TB的现在卖多少钱？,34800.0元,domestic_jd,price
VERTU AGENT Q手机的屏幕分辨率是多少像素？,VERTU AGENT Q手机的屏幕分辨率为1080×2340像素，属于FHD+级别，显示效果清晰锐利，细节呈现极为细腻。,domestic_jd,graph
VERTU META这款双曲屏的奢品加密手机，12GB+512GB皓月白小牛皮版本现在抢半价能到23800块吗？,23800.0元,domestic_jd,price
VERTU量子AI小折叠屏手机赤焰红鳄鱼皮款16GB+1TB现在大额补贴到底多少钱啊，这屏幕折叠起来也太高级了吧，想看看价格,49800.0元,domestic_jd,price
VERTU META双曲屏的这款奢品加密手机5G商务高端礼物，12GB+512GB赤焰红鳄鱼皮版本现在抢半价能到多少钱？,53800.0元,domestic_jd,price
METAVERTU手机的屏幕材质是什么?,采用柔性OLED材质弯曲成型，具备沉浸式观感、光线反射优化和美学价值。,domestic_jd,faq
VERTU META这款双曲屏的加密手机现在抢半价能省万元，12GB+512GB版本在京东仓发货的，多少钱啊？,25800.0元,domestic_jd,price
VERTU量子折叠屏这款金丝黑玛瑙限定版16GB+1TB的至尊新款，带AI智能体的，现在什么价格？,41800.0元,domestic_jd,price
VERTU量子AI智能体小折叠屏手机FLIP这款16GB+1TB的定制款现在大额补贴后多少钱？,30000.0元,domestic_jd,price
VERTU META这款带全面屏的高端加密商务手机，浅金款朱雀焰碳纤配12GB+1TB，现在咨询专属特惠是多少钱？,40800.0元,domestic_jd,price
VERTU量子AI智能体小折叠屏手机琥珀棕鳄鱼皮款16GB+1TB现在大额补贴后是45800元吗？这屏幕的折叠设计和质感看起来挺高级的，想确认下价格是不是真的这么低。,45800.0元,domestic_jd,price
VERTU AGENT Q 智能手机12GB+512GB或18GB+1TB存储容量是多少？,存储容量为12GB+512GB或18GB+1TB；此外还提供10TB永久免费的分布式存储空间，相当于可存储约1万部1G大小的高清电影、166万首6MB高品质音乐或约200万张5MB高清图片。,domestic_jd,faq
VERTU META双曲屏的这款18GB+1TB奢品加密手机，现在抢半价能省万元，丹凤橙鳄鱼皮款在天猫卖多少钱？,60800.0元,domestic_jd,price
VERTU META黑陶玄铁黑鳄鱼皮黄金镶钻款双曲屏的这款高端加密手机现在抢半价能省万元，18GB+1TB版本卖多少钱？,235800.0元,domestic_jd,price
VERTU量子折叠屏机甲AI智能体这款至尊25年商务礼物补贴版，16GB+1TB钛合金银色的，现在什么价格？,33800.0元,domestic_jd,price
VERTU META这款喜马拉雅高定款全面屏AI智能体手机现在什么价格？,117800.0元,domestic_jd,price
VERTU META这款全面屏的高端加密商务手机，12GB+1TB配置的浅金款皓月白现在什么价格？,36800.0元,domestic_jd,price
VERTU Agent Q手机6.1寸的有吗?,有的，VERTU Agent Q配备6.02英寸120Hz柔性AMOLED屏。,domestic_jd,faq
VERTU量子折叠屏这款16GB+1TB的至尊25年新款陨石灰缠丝玛瑙手机，带折叠屏的，现在什么价格啊？,39800.0元,domestic_jd,price
VERTU AGENT Q手机的屏幕有哪些核心特性？,VERTU AGENT Q手机采用120Hz柔性AMOLED屏幕，具备高刷新率、高分辨率（1080×2340像素）、高亮度与护眼调光功能，配合6.02英寸的精致大屏，带来沉浸式视觉享受。,domestic_jd,graph
VERTU META这款带全面屏的高端加密商务手机，12GB+1TB浅金配墨玉黑的现在什么价格？,36800.0元,domestic_jd,price
VERTU META这款双曲屏的18GB+1TB奢品加密手机，现在抢半价能省万元，绅士蓝小牛皮款在天猫卖多少钱？,30800.0元,domestic_jd,price
VERTU META系列-METAVERTU1手机的屏幕尺寸和刷新率是多少？,屏幕为6.67英寸FHD+ AMOLED曲面屏，支持144Hz高刷新率。,domestic_jd,faq
VERTU Agent Q刷新率多少?,120Hz。,domestic_jd,faq
VERTU QUANTUM 量子折叠 新品上新，搭载骁龙 8 至尊版芯片，支持2K+120Hz高刷吗？,搭载骁龙 8 至尊版芯片，支持2K+120Hz高刷大屏。,domestic_jd,faq
VERTU量子AI智能体小折叠屏手机黑曜石缠丝玛瑙款，16GB+1TB这个配置现在大额补贴后多少钱？,39800.0元,domestic_jd,price
VERTU META这款双曲屏的高端加密手机现在抢半价能到11000块吗？,11000.0元,domestic_jd,price
VERTU Quantum折叠屏手机的展开厚度和折叠厚度是多少?,展开厚度 7.2mm，折叠约 11.2mm，重量 230g,domestic_jd,faq
VERTU量子AI智能体小折叠屏手机静谧蓝鳄鱼皮款16GB+1TB现在大额补贴到底多少钱？这折叠屏的显示效果怎么样？,45800.0元,domestic_jd,price
VERTU META双曲屏18GB+1TB这款高端加密手机现在抢半价能到8万多，具体多少钱啊？,83800.0元,domestic_jd,price
VERTU META这款全面屏的高端加密商务手机赤焰红高定款，12GB+1TB配置现在什么价格？,64800.0元,domestic_jd,price
VERTU META这款全面屏的高端加密商务手机，琥珀棕高定款12GB+1TB的现在咨询专属特惠价是多少？,64800.0元,domestic_jd,price
VERTU META双曲屏的这款奢品加密手机现在抢半价能省万元，12GB+512GB静谧蓝鳄鱼皮款在补贴后多少钱？,53800.0元,domestic_jd,price
VERTU META这款全面屏AI智能体的高端加密商务手机，浅金款巴黎钉朱雀焰12GB+1TB的现在什么价格？,40800.0元,domestic_jd,price
VERTU META这款双曲屏的高端加密手机，12GB+512GB丹凤橙鳄鱼皮款现在抢半价能省万元，具体多少钱啊？,53800.0元,domestic_jd,price
VERTU Agent Q手机屏幕多大？,屏幕尺寸6.02英寸,domestic_jd,faq
VERTU AGENT Q 旗舰新品的屏幕分辨率是多少？,视听盛宴：2K+超感内屏配合DTS:X Ultra影院级音效，是您的私人IMAX影院。,domestic_jd,faq
VERTU Agent Q手机在玩和平精英时能保持多少帧率？,搭载3nm骁龙8 Elite至尊版处理器，具备高性能处理能力，可支持高帧率游戏运行。,domestic_jd,faq
VERTU META这款双曲屏的高端加密手机，18GB+1TB顶配版现在抢半价是30800块吗？,30800.0元,domestic_jd,price
VERTU量子AI智能体小折叠屏手机FLIP陨石灰缠丝玛瑙款16GB+1TB这个配置的现在大额补贴价多少啊，屏幕是折叠屏的，挺想看看具体价格的,39800.0元,domestic_jd,price
VERTU Signature S这款带触屏的4G卫星电话，支持AI加密通话的顶奢经典复刻款，墨玉黑这个颜色现在卖多少钱？,138000.0元,domestic_jd,price
VERTU量子AI智能体小折叠屏手机这款钛合金银色机甲的16GB+1TB版本现在33800元是历史底价吗？,33800.0元,domestic_jd,price
VERTU量子AI智能体小折叠屏手机FLIP这款墨玉黑小牛皮的，16GB+1TB版本现在京东仓发货的补贴价多少？,29800.0元,domestic_jd,price
VERTU AGENT Q 旗舰新品的像素好吗?,后置三摄，双主摄5000万像素，前置1600万像素，搭配人文拍摄模式，在部分拍摄场景下可达到相机拍摄品质，日常使用完全满足。,domestic_jd,faq
VERTU QUANTUM FLIP 新款量子折叠屏手机的测量工具是否可以用于手围测量？,不支持的,domestic_jd,faq
VERTU META黑陶喜马拉雅鳄鱼皮黄金镶钻款双曲屏的这款5G商务高端加密手机现在抢半价购能省多少，具体要多少钱？,323800.0元,domestic_jd,price
VERTU MetaRing这款能测血糖血氧心率的智能戒指，9号尺码带测量工具套装现在卖多少钱？,59.0元,domestic_jd,price
VERTU META双曲屏的这款18GB+1TB碳纤维旗舰款5G商务手机，现在抢半价能省万元，京东仓发货的这个配置到底多少钱？,32800.0元,domestic_jd,price
VERTU MetaRing这款能测血糖血氧的心率睡眠监测戒指，12号尺码的套装现在卖多少钱？,59.0元,domestic_jd,price
MetaVertu的屏幕尺寸和规格是什么？,6.67英寸FHD+ AMOLED曲面屏，分辨率为1080*2400，支持144Hz高刷新率。,domestic_jd,faq
VERTU META这款双曲屏的高端加密手机，12GB+512GB版本现在抢半价能到23800吗？,23800.0元,domestic_jd,price
VERTU QUANTUM量子折叠屏手机屏幕参数是什么？,6.02英寸120Hz柔性AMOLED屏,domestic_jd,faq
VERTU AGENT Q这款高端商务直面屏的奢品AI智能体手机，16GB+1TB玄铁黑高定款现在什么价格？,42800.0元,domestic_jd,price
VERTU AGENT Q这款有直面屏还支持三系统安全加密的高端商务旗舰现在什么价格？,31800.0元,domestic_jd,price
VERTU META这款带全面屏的高端加密商务手机，12GB+1TB内存的浅金配色现在什么价格？,36800.0元,domestic_jd,price
VERTU QUANTUM新品量子AI智能体小折叠屏手机的屏幕尺寸是多少？,"量子折叠屏采用双屏折叠设计：
超大3英寸682*422外屏，阳光下亦可清晰可见
超感6.9英寸巨幕OLED内屏，大型游戏满帧运行",domestic_jd,faq
VERTU Agent Q手机玩原神最高画质会卡顿吗?,支持游戏的噢老板；搭载3nm高通骁龙8 Elite至尊版，主频高达4.32GHz，性能跃升30%且功耗降低20%，搭配16GB大内存，无论大型应用还是复杂AI任务都流畅无压力。超6000mm² VC均热板散热，长时间高负载使用也不卡顿，算力领先主流旗舰。,domestic_jd,faq
VERTU META这款双曲屏的高端加密手机，12GB+512GB版本现在抢半价是76800元吗？,76800.0元,domestic_jd,price
VERTU QUANTUM这款小折叠屏手机，玄铁黑鳄鱼皮材质的16GB+1TB版本现在45800元是历史最低价吗？,45800.0元,domestic_jd,price
VERTU AGENT Q 旗舰新品有屏幕吗？,有的哦，展示的是背部。,domestic_jd,faq
VERTU量子AI智能体小折叠屏手机这款钛合金黑色机甲的16GB+1TB版本现在33800块是历史最低价吗？屏幕显示效果怎么样？,33800.0元,domestic_jd,price
VERTU QUANTUM这款小折叠屏的樱花粉鳄鱼皮版本，16GB+1TB配置的现在能到49800元吗？,49800.0元,domestic_jd,price
VERTU META双曲屏的这款高端加密手机，12GB+512GB玄铁黑鳄鱼皮版本现在抢半价能省万元，具体多少钱？,46800.0元,domestic_jd,price
VERTU META这款全面屏的高端加密商务手机，樱花粉高定款12GB+1TB的现在咨询专属特惠多少钱？,64800.0元,domestic_jd,price
VERTU MetaRing这款能无创测血糖血氧的心率睡眠监测智能戒指，金玉满堂款现在要3099元吗？,3099.0元,domestic_jd,price
VERTU Signature S这款黑金高定墨玉黑的触屏4G卫星电话，带AI加密通话的顶奢经典复刻款现在卖多少钱？,248000.0元,domestic_jd,price
VERTU META这款双曲屏的奢品加密手机现在抢半价是33800块吗？18GB+1TB这么高的配置还带AI智能体，想看看具体价格是不是真能省下万元？,33800.0元,domestic_jd,price
VERTU META这款双曲屏的奢品加密手机现在抢半价能省万元，18GB+1TB树莓红小牛皮款在补贴后要多少钱？,30800.0元,domestic_jd,price
VERTU Agent Q是全球首款AI Agent手机，能刷快手吗？,可以的哦老板，5G智能机哈。,domestic_jd,faq
VERTU MetaRing这款能测血糖血氧心率的智能戒指现在卖59块贵吗？,59.0元,domestic_jd,price
VERTU Agent Q手机厚度多少?,长 × 宽 × 厚：165.2 mm × 74.6 mm × 11.5 mm,domestic_jd,faq
VERTU META双曲屏这款高端加密手机现在抢半价能省万元，12GB+512GB墨玉黑小牛皮版京仓发货的，到底多少钱啊？,23800.0元,domestic_jd,price
VERTU Agent Q手机支持120Hz高刷新率吗？,支持120Hz高刷新率，触控流畅、视觉清晰。,domestic_jd,faq
VERTU AGENT Q手机是否使用AMOLED屏幕？,是的，VERTU AGENT Q手机使用的是120Hz柔性AMOLED屏幕，这种屏幕具备高对比度、深邃黑色和出色的色彩表现力，同时支持高刷新率，带来更顺滑的操作体验。,domestic_jd,graph
VERTU META这款带全面屏的高端加密商务手机，浅金碳纤维款12GB+1TB的现在咨询专属特惠价是多少？,36800.0元,domestic_jd,price
VERTU META这款双曲屏的18GB+1TB奢品加密手机，现在抢半价能省万元，曙光橙小牛皮款卖多少钱？,30800.0元,domestic_jd,price
VERTU META这款全面屏的高端加密商务手机，12GB+1TB配置的浅金款焦糖棕现在什么价格？,36800.0元,domestic_jd,price
VERTU Signature S这款黑金高定款玄铁黑的触屏4G卫星电话，带AI加密通话和顶奢商务设计，现在卖多少钱啊？,268000.0元,domestic_jd,price
VERTU AGENT Q手机的长宽高分别是多少?,尺寸为165.2mm（长）x 74.6mm（宽）x 11.5mm（厚），重量为262克。,domestic_jd,faq
VERTU META双曲屏18GB+1TB这款高端加密手机现在抢半价能到32800吗？巴黎钉曙光橙小牛皮配色的屏幕看着挺高级，是不是真有这么贵？,32800.0元,domestic_jd,price
VERTU Signature S这款黑钢高定款玄武黑的触屏4G卫星电话，带AI加密通话和顶奢商务设计的，现在卖多少钱？,158000.0元,domestic_jd,price
VERTU META这款双曲屏的加密手机现在抢半价能省万元，18GB+1TB墨玉黑小牛皮款在京东仓发货的要多少钱？,30800.0元,domestic_jd,price
VERTU量子AI智能体小折叠屏手机喜马拉雅鳄鱼皮款16GB+1TB现在大额补贴到底多少钱？这屏幕的折叠质感和显示效果怎么样？,115800.0元,domestic_jd,price
VERTU AGENT Q 旗舰新品 16GB+1TB 版本支持18GB+1TB吗？,不支持，该款配置为16GB+1TB，且配备独家10TB分布式存储，内存容量非常大，无需担心存储问题。,domestic_jd,faq
VERTU META这款双曲屏的高端加密手机，18GB+1TB版本现在抢半价能省万元，焦糖棕小牛皮款卖多少钱？,30800.0元,domestic_jd,price
VERTU META双曲屏这款18GB+1TB的奢品加密手机，现在抢半价购能省下万元，赤焰红鳄鱼皮款在补贴后多少钱？,60800.0元,domestic_jd,price
VERTU MetaRing这款能无创测血糖血氧还能监测心率和睡眠的智能戒指，10号尺码的套装现在卖多少钱？,59.0元,domestic_jd,price
VERTU AGENT Q旗舰新品的屏幕是否容易摔坏？,手机屏幕肯定要保护好撒。摔任何品牌的手机都有可能摔坏。手机属于贵重物品，建议妥善保管，避免摔落，否则维修需花费钱财并耽误时间。,domestic_jd,faq
VERTU META黑陶喜马拉雅鳄鱼皮黄金镶钻款双曲屏5G商务高端手机现在抢半价能省万元，18GB+1TB这个配置多少钱？,330800.0元,domestic_jd,price
VERTU Signature S这款玄铁黑高定款带触屏4G卫星电话的顶奢手机现在卖多少钱啊，屏幕质感怎么样？,148000.0元,domestic_jd,price
SIGNATURE S 总裁手机能人脸识别吗?,不能人脸识别，但可以出示二维码供他人扫描。,domestic_jd,faq
VERTU META这款双曲屏的奢品加密手机12GB+512GB版本现在抢半价，17pro款喜马拉雅鳄鱼皮的在补贴后多少钱？,110800.0元,domestic_jd,price
VERTU般若这款AI智能戒指，支持血氧心率睡眠监测的，适配华为苹果安卓的，现在2999元是这个价格吗？,2999.0元,domestic_jd,price
VERTU METAVERTU手机的重量和厚度是多少？,重量：199g，厚度：8.46mm。,domestic_jd,faq
VERTU AGENT Q手机的屏幕规格是什么？,120Hz高刷AMOLED屏幕。,domestic_jd,faq
VERTU METAVERTU手机的屏幕参数是什么？,6.67寸FHD+的AMOLED曲面屏（1080*2400），支持144hz高刷新率。,domestic_jd,faq
VERTU AGENT Q有时黑屏，是什么原因？,可能是由于磕碰或跌落导致屏幕损坏，建议寄回售后中心检测维修。,domestic_jd,faq
VERTU量子折叠屏机甲AI智能体这款16GB+1TB钛合金黑色的至尊版现在多少钱啊，屏幕是折叠屏的，挺想看看价格的,33800.0元,domestic_jd,price
VERTU META这款全面屏的高端加密商务手机，12GB+1TB版本浅金款现在卖多少钱啊？,36800.0元,domestic_jd,price
VERTU META双曲屏的这款碳纤维旗舰款12GB+512GB的5G商务手机，现在抢半价补贴后是25800块吗？,25800.0元,domestic_jd,price
VERTU META这款带全面屏的高端加密商务手机，12GB+1TB配置的浅金款巴黎钉曙光橙现在什么价格？,36800.0元,domestic_jd,price
VERTU META这款双曲屏的18GB+1TB奢品加密手机，维罗纳绿小牛皮款现在抢半价能省万元，具体多少钱啊？,30800.0元,domestic_jd,price
VERTU META 17pro喜马拉雅鳄鱼皮这款双曲屏的加密手机现在抢半价能省万元，18GB+1TB的配置在天猫卖多少钱？,119800.0元,domestic_jd,price
VERTU META这款全面屏AI智能体的奢品手机，浅金款配12GB+1TB，现在咨询专属特惠是多少钱？,36800.0元,domestic_jd,price
METAVERTU Meta直面屏手机屏幕有没有保护膜？,有的，后期还可以单独购买呢,domestic_jd,faq
VERTU META这款双曲屏的高端加密手机现在抢半价能到23800吗？12GB+512GB曙光橙小牛皮版本还挺想要的,23800.0元,domestic_jd,price
VERTU META这款双曲屏的奢品加密手机现在抢半价能省万元，18GB+1TB的配置在京东仓发货的，具体多少钱啊？,32800.0元,domestic_jd,price
VERTU量子AI智能体小折叠屏手机全黄金玄铁黑鳄鱼皮款16GB+1TB的现在这个历史底价138000元是官方标配吗？屏幕是折叠屏的，挺关注这块显示效果的,138000.0元,domestic_jd,price
VERTU META这款全面屏的高端加密商务手机，12GB+1TB配置的现在什么价格？,36800.0元,domestic_jd,price
VERTU MetaRing这款黄水晶智能戒指，能无创测血糖血氧心率的，现在卖多少钱啊？,3099.0元,domestic_jd,price
VERTU META这款双曲屏的高端加密手机现在抢半价能到32800吗？18GB+1TB的配置配上AI智能体，确实挺心动的,32800.0元,domestic_jd,price
VERTU META双曲屏的这款奢品加密手机现在抢半价能省万元，18GB+1TB静谧蓝鳄鱼皮款在补贴后多少钱？,60800.0元,domestic_jd,price
